Channel Title,Channel Username,ID,Message,Date,Media Path
Shewa Brand,@Shewabrand,3713,"NIKE SB FC original
Size 40#41#42#43#44#45
MADE IN VIETNAM
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን
የቴሌግራም ቻናላችንን ይቀላቀሉ
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን
0987336458
0948595409 ይደውሉልን",2025-06-21 09:28:21+00:00,photos\@Shewabrand_3713.jpg
Shewa Brand,@Shewabrand,3712,"ORIGINAL COTTON TUTA original
Size L#XL#2XL#3XL#4XL
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን
የቴሌግራም ቻናላችንን ይቀላቀሉ
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን
0987336458
0948595409 ይደውሉልን",2025-06-21 05:05:45+00:00,photos\@Shewabrand_3712.jpg
Shewa Brand,@Shewabrand,3711,"ZARA CLUB COTTON TISHERTS  original
Size M#L#XL#XXX
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን
የቴሌግራም ቻናላችንን ይቀላቀሉ
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን
0987336458
0948595409 ይደውሉልን",2025-06-20 07:57:43+00:00,photos\@Shewabrand_3711.jpg
Shewa Brand,@Shewabrand,3710,"jordan 1 original
Size 40#41#42#43
MADE IN VIETNAM
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን
የቴሌግራም ቻናላችንን ይቀላቀሉ
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን
0987336458
0948595409 ይደውሉልን",2025-06-20 06:15:40+00:00,photos\@Shewabrand_3710.jpg
Shewa Brand,@Shewabrand,3709,"SKECHERS FLEX COMFORT  original
Size 36#37#38#39#40
MADE IN VIETNAM
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን
የቴሌግራም ቻናላችንን ይቀላቀሉ
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን
0987336458
0948595409 ይደውሉልን",2025-06-19 08:46:11+00:00,photos\@Shewabrand_3709.jpg
Shewa Brand,@Shewabrand,3708,"adidas FEAR OF GOD original
Size 36#38#39
MADE IN VIETNAM
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን
የቴሌግራም ቻናላችንን ይቀላቀሉ
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን
0987336458
0948595409 ይደውሉልን",2025-06-18 09:01:45+00:00,photos\@Shewabrand_3708.jpg
BELLA CLASSIC®,@belaclassic,1691,"PRICE :- 4400 ብር
️ phone :- 0944222069
brand  :- PUMA SPIREX
size :- 39,40,41,42,43,44
አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",2025-06-19 09:02:05+00:00,photos\@belaclassic_1691.jpg
BELLA CLASSIC®,@belaclassic,1689,"PRICE :- 3600 ብር
️ phone :- 0944222069
brand  :- NIKE PEGASUS ZOOM
size :- 39,40,41,42,43,44
አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",2025-06-19 06:26:42+00:00,photos\@belaclassic_1689.jpg
BELLA CLASSIC®,@belaclassic,1688,"PRICE :- 3900 ብር
️ phone :- 0944222069
brand  :- YEEZY 700 MENS
size :- 39,40,41,42,43,44
አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",2025-06-18 16:32:41+00:00,photos\@belaclassic_1688.jpg
BELLA CLASSIC®,@belaclassic,1687,"PRICE :- 3600 ብር
️ phone :- 0944222069
brand  :- REEBOK CLASSIC
size :- 39,40,41,42,43,44
አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ ሱቅ.ቁ 213",2025-06-18 09:55:25+00:00,photos\@belaclassic_1687.jpg
BELLA CLASSIC®,@belaclassic,1685,"PRICE :- 3400 ብር
️ phone :- 0944222069
brand  :- CONVERSE 90's
size :- 39,40,41,42,43,44
አድራሻ :- ሜክሲኮ ኬኬር ህንፃ 2ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ 213",2025-06-17 18:16:14+00:00,photos\@belaclassic_1685.jpg
